r_f_addr,mi_ctrline,oneway_dir,displayrou,r_t_addr,f_street,objectid,pre_dir,st_type,t_street,l_f_addr,street,l_t_addr,st_name,AREA,PERIMETER,COMAREA_,COMAREA_ID,AREA_NUMBE,COMMUNITY,SHAPE_AREA,SHAPE_LEN,length
2300,0.252628420939,,PROTECTED BIKE LANE,2100,S OAKLEY BLVD,35,W,BLVD,S HOYNE AVE,2301,JACKSON BLVD,2101,JACKSON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,406.562364110826
7100,0.627982650008,,PROTECTED BIKE LANE,7600,W 71ST ST,0,S,BLVD,W 76TH ST,7101,LOOMIS BLVD,7601,LOOMIS,0,0,0,0,67,WEST ENGLEWOOD,87947691.9478,40195.2033069,796.056949815268
7100,0.627982650008,,PROTECTED BIKE LANE,7600,W 71ST ST,0,S,BLVD,W 76TH ST,7101,LOOMIS BLVD,7601,LOOMIS,0,0,0,0,71,AUBURN GRESHAM,105065353.602,46757.7217161,214.571337330483
9386,2.66922623751,,BUFFERED BIKE LANE,7900,S BALTIMORE AVE,27,S,AVE,E 79TH ST,9379,SOUTH CHICAGO AVE,7901,SOUTH CHICAGO,0,0,0,0,43,SOUTH SHORE,81812716.3958,44249.6461173,0.229241979625462
9386,2.66922623751,,BUFFERED BIKE LANE,7900,S BALTIMORE AVE,27,S,AVE,E 79TH ST,9379,SOUTH CHICAGO AVE,7901,SOUTH CHICAGO,0,0,0,0,45,AVALON PARK,34852737.7366,27630.822534,2297.70841673382
9386,2.66922623751,,BUFFERED BIKE LANE,7900,S BALTIMORE AVE,27,S,AVE,E 79TH ST,9379,SOUTH CHICAGO AVE,7901,SOUTH CHICAGO,0,0,0,0,46,SOUTH CHICAGO,93272185.0092,52435.9794313,90.4186115189092
9386,2.66922623751,,BUFFERED BIKE LANE,7900,S BALTIMORE AVE,27,S,AVE,E 79TH ST,9379,SOUTH CHICAGO AVE,7901,SOUTH CHICAGO,0,0,0,0,48,CALUMET HEIGHTS,48826241.5643,32925.3658706,1907.24814346796
801,1.00563213094,,BUFFERED BIKE LANE,1601,W CHICAGO AVE,28,N,ST,W NORTH AVE,800,WELLS ST,1600,WELLS,0,0,0,0,8,NEAR NORTH SIDE,76675895.9728,57293.1649516,1618.23503180884
801,1.00563213094,,BUFFERED BIKE LANE,1601,W CHICAGO AVE,28,N,ST,W NORTH AVE,800,WELLS ST,1600,WELLS,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,0.149760340478208
5100,1.67531586632,,BUFFERED BIKE LANE,6124,N CARMEN AVE,29,N,AVE,N HYACINTH ST,5100,MILWAUKEE AVE,6131,MILWAUKEE,0,0,0,0,11,JEFFERSON PARK,64868161.6818,44011.9571704,1860.0215321569
5100,1.67531586632,,BUFFERED BIKE LANE,6124,N CARMEN AVE,29,N,AVE,N HYACINTH ST,5100,MILWAUKEE AVE,6131,MILWAUKEE,0,0,0,0,10,NORWOOD PARK,121959105.47,80368.3743778,836.139654413456
501,0.0816612661844,W,BUFFERED BIKE LANE,521,N DEARBORN ST,30,W,AVE,N STATE ST,500,GRAND AVE,520,GRAND,0,0,0,0,8,NEAR NORTH SIDE,76675895.9728,57293.1649516,131.419091037644
1601,0.414509805809,,BIKE LANE,1769,W NORTH AVE,31,N,AVE,N LEAVITT ST,1600,MILWAUKEE AVE,1764,MILWAUKEE,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,667.082774794372
3601,1.00574638458,,SHARED-LANE,4400,W ADDISON ST,32,N,AVE,N MONTROSE AVE,3600,CALIFORNIA AVE,4401,CALIFORNIA,0,0,0,0,14,ALBANY PARK,53542230.8191,39339.0164387,0.144607737239664
3601,1.00574638458,,SHARED-LANE,4400,W ADDISON ST,32,N,AVE,N MONTROSE AVE,3600,CALIFORNIA AVE,4401,CALIFORNIA,0,0,0,0,16,IRVING PARK,89611382.3106,49083.2240938,1618.43580382043
2358,0.127562443527,,BUFFERED BIKE LANE,2300,S WESTERN AVE,33,W,BLVD,S OAKLEY BLVD,2363,JACKSON BLVD,2301,JACKSON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,205.290083656753
2001,0.17798738585,,BUFFERED BIKE LANE,2077,W ARMITAGE AVE,198,N,AVE,W DICKENS AVE,2000,LINCOLN AVE,2076,LINCOLN,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,286.439011610747
2000,0.301688948537,E,PROTECTED BIKE LANE,1750,S DAMEN AVE,36,W,BLVD,W OGDEN AVE,2001,JACKSON BLVD,1751,JACKSON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,485.516492162284
2142,0.345463225967,,BUFFERED BIKE LANE,1800,E CERMAK RD,37,S,AVE,E 18TH ST,2143,WABASH AVE,1801,WABASH,0,0,0,0,33,NEAR SOUTH SIDE,49769639.4541,45053.1651038,555.960559413315
1900,0.163151322439,,BUFFERED BIKE LANE,1856,W CULLERTON ST,38,S,ST,W 18TH ST,1901,STATE ST,1843,STATE,0,0,0,0,33,NEAR SOUTH SIDE,49769639.4541,45053.1651038,262.562586820592
5520,0.0675159418113,,BIKE LANE,5500,E RAINEY DR,39,S,DR,E 55TH ST,5519,PAYNE DR,5501,PAYNE,0,0,0,0,40,WASHINGTON PARK,42373881.4842,28175.3160866,108.654447382115
7559,0.938369931437,,BUFFERED BIKE LANE,6900,W 76TH ST,40,S,AVE,W 69TH ST,7559,VINCENNES AVE,6901,VINCENNES,0,0,0,0,69,GREATER GRAND CROSSING,98853167.7093,54645.3302996,1510.13711065511
2634,1.20696959417,,BIKE LANE,3600,S TORRENCE AVE,41,E,ST,S AVE L,2635,100TH ST,3601,100TH,0,0,0,0,51,SOUTH DEERING,303797059.66,80389.8718002,1446.6472289431
2634,1.20696959417,,BIKE LANE,3600,S TORRENCE AVE,41,E,ST,S AVE L,2635,100TH ST,3601,100TH,0,0,0,0,52,EAST SIDE,83241728.0493,52274.1928493,495.732442052176
6576,0.299997895499,,SHARED-LANE,6433,N OKETO AVE,42,N,HWY,W DEVON AVE,6575,NORTHWEST HWY,6432,NORTHWEST,0,0,0,0,9,EDISON PARK,31636313.7864,25937.226841,482.801687356662
5726,0.949134040322,,BIKE LANE,6190,N NAGLE AVE,43,N,HWY,N SAYRE AVE,5727,NORTHWEST HWY,6191,NORTHWEST,0,0,0,0,10,NORWOOD PARK,121959105.47,80368.3743778,1527.48702553596
2364,1.39168791395,,SHARED-LANE,1300,N WESTERN AVE,44,W,AVE,N SHERIDAN RD,2365,TOUHY AVE,1301,TOUHY,0,0,0,0,1,ROGERS PARK,51259902.4506,34052.3975757,1631.66109767453
2364,1.39168791395,,SHARED-LANE,1300,N WESTERN AVE,44,W,AVE,N SHERIDAN RD,2365,TOUHY AVE,1301,TOUHY,0,0,0,0,2,WEST RIDGE,98429094.8621,43020.6894583,608.022495876345
2469,0.226128646781,,BIKE LANE,2602,FARMERS MARKET DRIVEWAY,110,N,AVE,HOME DEPOT DRIVEWAY,2466,ELSTON AVE,2601,ELSTON,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,363.915495845556
1600,0.257365864493,,BIKE LANE,1332,N ASHLAND AVE,45,W,AVE,N WAYNE AVE,1599,MORSE AVE,1335,MORSE,0,0,0,0,1,ROGERS PARK,51259902.4506,34052.3975757,414.185892731442
801,0.0740159013975,,BUFFERED BIKE LANE,829,W CHICAGO AVE,46,N,AVE,N ELSTON AVE,800,MILWAUKEE AVE,828,MILWAUKEE,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,119.115633659457
1,0.262396119134,N,BUFFERED BIKE LANE,199,W MADISON ST,47,N,ST,W LAKE ST,2,FRANKLIN ST,198,FRANKLIN,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,422.279588939698
1100,0.329406419669,S,BUFFERED BIKE LANE,824,W ROOSEVELT RD,48,S,ST,W POLK ST,1101,DESPLAINES ST,825,DESPLAINES,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,530.121186080466
300,0.263335131793,N,BUFFERED BIKE LANE,150,W VAN BUREN ST,49,S,ST,W MONROE ST,301,FRANKLIN ST,151,FRANKLIN,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,423.790751963894
5476,0.563848944888,,BUFFERED BIKE LANE,5100,E GARFIELD BLVD,50,S,DR,E 51ST ST,5475,ELLSWORTH DR,5101,ELLSWORTH,0,0,0,0,38,GRAND BOULEVARD,48492503.1554,28196.8371573,0.177568198333488
5476,0.563848944888,,BUFFERED BIKE LANE,5100,E GARFIELD BLVD,50,S,DR,E 51ST ST,5475,ELLSWORTH DR,5101,ELLSWORTH,0,0,0,0,40,WASHINGTON PARK,42373881.4842,28175.3160866,907.234016934418
1785,0.714352599102,,BUFFERED BIKE LANE,2167,W SHEFFIELD AVE,51,N,AVE,N SOUTHPORT AVE,1778,CLYBOURN AVE,2160,CLYBOURN,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,1149.62574568812
649,0.273344767502,,PROTECTED BIKE LANE,773,W ERIE ST,52,N,AVE,N OGDEN AVE,654,MILWAUKEE AVE,770,MILWAUKEE,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,439.900385719891
1896,0.307938757264,,PROTECTED BIKE LANE,1606,W 19TH ST,53,S,DR,W OGDEN AVE,1895,SACRAMENTO DR,1607,SACRAMENTO,0,0,0,0,29,NORTH LAWNDALE,89487422.0242,44959.4596627,495.575941277294
1358,0.72427831119,S,BUFFERED BIKE LANE,600,W DOUGLAS BLVD,54,S,BLVD,W HARRISON ST,1349,INDEPENDENCE BLVD,601,INDEPENDENCE,0,0,0,0,26,WEST GARFIELD PARK,36092848.8151,26238.5419796,547.685601015863
1358,0.72427831119,S,BUFFERED BIKE LANE,600,W DOUGLAS BLVD,54,S,BLVD,W HARRISON ST,1349,INDEPENDENCE BLVD,601,INDEPENDENCE,0,0,0,0,29,NORTH LAWNDALE,89487422.0242,44959.4596627,617.92167270843
3730,0.875308981925,E,BUFFERED BIKE LANE,3101,S RIDGEWAY AVE,55,W,BLVD,S ALBANY AVE,3725,DOUGLAS BLVD,3100,DOUGLAS,0,0,0,0,29,NORTH LAWNDALE,89487422.0242,44959.4596627,1408.66494225784
401,0.110582825418,,PROTECTED BIKE LANE,439,W KINZIE ST,56,N,AVE,W HUBBARD STREET,400,MILWAUKEE AVE,446,MILWAUKEE,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,177.963468573947
4000,0.507003023742,,BIKE LANE,4400,N PULASKI RD,57,W,AVE,N KOSTNER AVE,4001,DIVERSEY AVE,4401,DIVERSEY,0,0,0,0,20,HERMOSA,32602059.4055,27179.0174378,444.433118730579
4000,0.507003023742,,BIKE LANE,4400,N PULASKI RD,57,W,AVE,N KOSTNER AVE,4001,DIVERSEY AVE,4401,DIVERSEY,0,0,0,0,21,AVONDALE,55290595.473,34261.9334038,371.506207093845
5487,1.36724887329,,BUFFERED BIKE LANE,6151,N LYNCH AVE,58,N,AVE,N MELVINA AVE,5486,ELSTON AVE,6150,ELSTON,0,0,0,0,11,JEFFERSON PARK,64868161.6818,44011.9571704,1699.76738181083
5487,1.36724887329,,BUFFERED BIKE LANE,6151,N LYNCH AVE,58,N,AVE,N MELVINA AVE,5486,ELSTON AVE,6150,ELSTON,0,0,0,0,10,NORWOOD PARK,121959105.47,80368.3743778,500.607208332731
2421,0.336151168051,,BUFFERED BIKE LANE,2101,W 24TH BLVD,59,S,BLVD,W 21ST ST,2420,MARSHALL BLVD,2100,MARSHALL,0,0,0,0,30,SOUTH LAWNDALE,127998297.867,49904.0452102,540.97900939297
2914,0.18217297742,,BUFFERED BIKE LANE,2800,S MARSHALL BLVD,60,W,BLVD,S CALIFORNIA AVE,2935,24TH BLVD,2801,24TH,0,0,0,0,30,SOUTH LAWNDALE,127998297.867,49904.0452102,293.176834516854
4401,0.277600411298,,PROTECTED BIKE LANE,4601,W MONTROSE AVE,61,N,,W WILSON AVE,4400,BROADWAY,4600,BROADWAY,0,0,0,0,3,UPTOWN,65095642.7289,46972.7945549,446.749310012521
5032,1.62706685472,,BUFFERED BIKE LANE,3858,E 51ST ST,62,S,DR,E 38TH ST,5033,DR MARTIN LUTHER KING JR DR,3859,DR MARTIN LUTHER KING JR,0,0,0,0,35,DOUGLAS,46004621.1581,31027.0545098,201.719206457098
5032,1.62706685472,,BUFFERED BIKE LANE,3858,E 51ST ST,62,S,DR,E 38TH ST,5033,DR MARTIN LUTHER KING JR DR,3859,DR MARTIN LUTHER KING JR,0,0,0,0,38,GRAND BOULEVARD,48492503.1554,28196.8371573,2416.74757243591
1600,0.505093495016,,BIKE LANE,1961,W NORTH AVE,63,N,AVE,W ARMITAGE AVE,1601,DAMEN AVE,1960,DAMEN,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,338.091498225756
1600,0.505093495016,,BIKE LANE,1961,W NORTH AVE,63,N,AVE,W ARMITAGE AVE,1601,DAMEN AVE,1960,DAMEN,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,474.770039849474
9483,0.19261416189,,BIKE LANE,9389,E 95TH ST,64,S,AVE,S BALTIMORE AVE,9484,SOUTH CHICAGO AVE,9388,SOUTH CHICAGO,0,0,0,0,46,SOUTH CHICAGO,93272185.0092,52435.9794313,34.9625001434797
9483,0.19261416189,,BIKE LANE,9389,E 95TH ST,64,S,AVE,S BALTIMORE AVE,9484,SOUTH CHICAGO AVE,9388,SOUTH CHICAGO,0,0,0,0,48,CALUMET HEIGHTS,48826241.5643,32925.3658706,275.011982918385
2448,0.103847205219,,BUFFERED BIKE LANE,2400,N CAMPBELL AVE,393,W,ST,N WESTERN AVE,2449,ROSCOE ST,2401,ROSCOE,0,0,0,0,5,NORTH CENTER,57054167.85,31391.6697542,167.124522468892
1001,0.374787019455,,BUFFERED BIKE LANE,1201,W AUGUSTA AVE,65,N,AVE,W DIVISION ST,1000,MILWAUKEE AVE,1200,MILWAUKEE,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,603.154617426245
6901,0.250911866963,,BUFFERED BIKE LANE,6701,W 69TH ST,66,S,ST,W MARQUETTE RD,6900,HALSTED ST,6700,HALSTED,0,0,0,0,68,ENGLEWOOD,85652323.0826,42316.8442973,403.798119005384
1100,0.0720908426863,E,NEIGHBORHOOD GREENWAY,1038,N WINTHROP AVE,67,W,AVE,N KENMORE AVE,1101,ARDMORE AVE,1039,ARDMORE,0,0,0,0,77,EDGEWATER,48449990.8397,31004.8309456,116.017620289303
1069,0.411621235469,,SHARED-LANE,748,N WINTHROP AVE,68,W,AVE,N MARINE DR,1068,LAWRENCE AVE,753,LAWRENCE,0,0,0,0,3,UPTOWN,65095642.7289,46972.7945549,662.432179737855
0,0.4439797063,,OFF-STREET TRAIL,0,W IRVING PARK RD,69,N,,W CULLOM AVE,0,HORNER PARK PATH,0,HORNER PARK PATH,0,0,0,0,16,IRVING PARK,89611382.3106,49083.2240938,714.510949524644
4001,0.225529685733,,SHARED-LANE,4145,W IRVING PARK RD,70,N,AVE,N CLARK ST,4000,SOUTHPORT AVE,4148,SOUTHPORT,0,0,0,0,6,LAKE VIEW,87214799.2728,51973.0968677,362.950908742012
0,0.194869215725,,ACCESS PATH,0,W BERWYN AVE,71,W,,N LAKEFRONT TRAIL,,BERWYN AVE ACCESS (STREET LEVEL),0,BERWYN AVE ACCESS (STREET LEVEL),0,0,0,0,77,EDGEWATER,48449990.8397,31004.8309456,313.60779599486
0,0.184208077713,,ACCESS PATH,0,W ARGYLE ST,72,W,,N LAKEFRONT TRAIL,,ARGYLE ST ACCESS (TUNNEL & STEPS),0,ARGYLE ST ACCESS (TUNNEL & STEPS),0,0,0,0,3,UPTOWN,65095642.7289,46972.7945549,296.450454259093
0,0.0833735809876,,ACCESS PATH,0,W BUENA AVE,73,W,,N LAKEFRONT TRAIL,,BUENA AVE ACCESS (UNDERPASS),0,BUENA AVE ACCESS (UNDERPASS),0,0,0,0,3,UPTOWN,65095642.7289,46972.7945549,134.175026746022
0,0.100274118094,,ACCESS PATH,0,W ADDISON ST,74,W,,N LAKEFRONT TRAIL,0,ADDISON ST ACCESS (UNDERPASS),0,ADDISON ST ACCESS (UNDERPASS),0,0,0,0,6,LAKE VIEW,87214799.2728,51973.0968677,161.373416120873
6037,0.414299851707,,BIKE LANE,6349,N LINCOLN AVE,75,N,AVE,W DEVON AVE,6046,KEDZIE AVE,6348,KEDZIE,0,0,0,0,2,WEST RIDGE,98429094.8621,43020.6894583,666.74705176069
0,0.0934441850968,,ACCESS PATH,0,W ROSCOE ST,84,W,,N LAKEFRONT TRAIL,0,ROSCOE ST ACCESS (TUNNEL & RAMPS),0,ROSCOE ST ACCESS (TUNNEL & RAMPS),0,0,0,0,6,LAKE VIEW,87214799.2728,51973.0968677,150.381786113314
0,0.0777194252249,,ACCESS PATH,0,E DIVISION ST,85,E,,N LAKEFRONT TRAIL,0,DIVISION ST ACCESS (STAIRS & TUNNEL),0,DIVISION ST ACCESS (STAIRS & TUNNEL),0,0,0,0,8,NEAR NORTH SIDE,76675895.9728,57293.1649516,125.075346755673
0,0.198903996134,,OFF-STREET TRAIL,0,N CENTRAL PARK AVE,76,W,,N RIDGEWAY AVE,0,NORTH BRANCH TRAIL,0,NORTH BRANCH TRAIL,0,0,0,0,13,NORTH PARK,70288706.4343,41581.9486539,112.880277887289
0,0.198903996134,,OFF-STREET TRAIL,0,N CENTRAL PARK AVE,76,W,,N RIDGEWAY AVE,0,NORTH BRANCH TRAIL,0,NORTH BRANCH TRAIL,0,0,0,0,14,ALBANY PARK,53542230.8191,39339.0164387,207.223116190673
0,0.440185907765,,ACCESS PATH,0,W DEVON AVE,77,W,AVE,NORTH BRANCH TRAIL,0,DEVON AVE ACCESS (STREET LEVEL),0,DEVON AVE ACCESS (STREET LEVEL),0,0,0,0,12,FOREST GLEN,89130893.6364,74493.821604,149.821786158217
0,0.440185907765,,ACCESS PATH,0,W DEVON AVE,77,W,AVE,NORTH BRANCH TRAIL,0,DEVON AVE ACCESS (STREET LEVEL),0,DEVON AVE ACCESS (STREET LEVEL),0,0,0,0,10,NORWOOD PARK,121959105.47,80368.3743778,558.589948598061
1958,0.50354976569,,NEIGHBORHOOD GREENWAY,1600,N DAMEN AVE,78,W,ST,N ASHLAND AVE,1959,CORTLAND ST,1601,CORTLAND,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,810.376726310074
1601,0.516058564503,,BIKE LANE,1301,N DAMEN AVE,79,N,AVE,N PAULINA ST,1600,MILWAUKEE AVE,1300,MILWAUKEE,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,830.507585219885
0,0.113244772571,,ACCESS PATH,0,E NORTH AVE,80,E,,N LAKEFRONT TRAIL,0,NORTH AVE ACCESS (TUNNEL & RAMPS),0,NORTH AVE ACCESS (TUNNEL & RAMPS),0,0,0,0,8,NEAR NORTH SIDE,76675895.9728,57293.1649516,160.303267632418
0,0.113244772571,,ACCESS PATH,0,E NORTH AVE,80,E,,N LAKEFRONT TRAIL,0,NORTH AVE ACCESS (TUNNEL & RAMPS),0,NORTH AVE ACCESS (TUNNEL & RAMPS),0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,21.9437296321425
1251,0.338648747819,,BUFFERED BIKE LANE,1563,W SCOTT ST,81,N,ST,N CLYBOURN AVE,1250,HALSTED ST,1562,HALSTED,0,0,0,0,8,NEAR NORTH SIDE,76675895.9728,57293.1649516,544.99538228534
0,0.0883801912461,,ACCESS PATH,0,LINCOLN PARK,82,E,,N LAKEFRONT TRAIL,0,LINCOLN PARK ACCESS (BRIDGE & RAMPS),0,LINCOLN PARK ACCESS (BRIDGE & RAMPS),0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,142.231969321892
0,0.896776910515,,ACCESS PATH,0,E 18TH ST,83,E,,E 18TH ST,0,18TH ST ACCESS (BRIDGE),0,18TH ST ACCESS (BRIDGE),0,0,0,0,33,NEAR SOUTH SIDE,49769639.4541,45053.1651038,1443.19860540263
