field_1,address,categories,city,lat,lng,name,COMMUNITY,AREA_NUM_1
"97",1558 E 53rd St,Bike Shop,Chicago,41.799503326416,-87.5870361328125,53rd Street Bike Center,HYDE PARK,"41"
"98",4710 N Damen Ave,Bike Shop,Chicago,41.9673158996394,-87.6791712355159,Turin Bicycle,LINCOLN SQUARE,"4"
"99",4653 N Broadway St,Bike Shop,Chicago,41.9668460787164,-87.6583397566944,Uptown Bikes,UPTOWN,"3"
"101",1656 W Farwell Ave Apt 3F,Bike Shop,Chicago,42.0069236755371,-87.6721954345703,Snyder Cycling Services,ROGERS PARK,"1"
"102",7054 N Clark St,Bike Shop,Chicago,42.010544,-87.674514,Roberts Cycle,ROGERS PARK,"1"
"103",6317 N Clark St,Bike Shop,Chicago,41.996985,-87.669957,Gary's Cycle Shop,EDGEWATER,"77"
"105",7628 N Paulina St,Bike Shop,Chicago,42.020327,-87.673343,The Recyclery,ROGERS PARK,"1"
"106",N. Clark,Bike Shop,Chicago,41.9970137179552,-87.6703288231275,Gary's Bike Shop,EDGEWATER,"77"
"107",6868 N Western Ave,Bike Shop,Chicago,42.006586,-87.690488,Chicago Harley-Davidson,WEST RIDGE,"2"
"109",5434 N Clark St,Bike Shop,Chicago,41.9808177389149,-87.6683925883565,johnny sprockets,EDGEWATER,"77"
"110",5600 N Western Ave,Bike Shop,Chicago,41.983366,-87.689805,Shining Bikes and Things,WEST RIDGE,"2"
"115",5515 N Christiana Ave,Bike Shop,Chicago,41.981684,-87.712144,ben's vintage bikes,NORTH PARK,"13"
"116",2338 W Lawrence Ave,Bike Shop,Chicago,41.96865044737,-87.6882074564735,On The Route Bikes,LINCOLN SQUARE,"4"
"118",4749 N Kedzie Ave,Bike Shop,Chicago,41.9674797058106,-87.7083129882812,Bikes N' Roses,ALBANY PARK,"14"
"120",4540 N Western Ave,Bike Shop,Chicago,41.964357,-87.68913,Marya Baca,LINCOLN SQUARE,"4"
"121",3140 W Montrose Ave,Bike Shop,Chicago,41.9613400717825,-87.7074771018032,Tailwind Cycles,ALBANY PARK,"14"
"126",1634 W Montrose Ave,Bike Shop,Chicago,41.9617239425477,-87.6705551147461,Green Machine Cycles,UPTOWN,"3"
"127",4075 N Broadway St,Bike Shop,Chicago,41.956718,-87.651645,Nearly New Bike Shop,UPTOWN,"3"
"128",3650 Recreation Dr,Bike Shop,Chicago,41.9506089961764,-87.6433223887303,Lakeshore Bike,LAKE VIEW,"6"
"129",3712 N Halsted St,Bike Shop,Chicago,41.9496320619609,-87.6497041782335,Kozy's Cyclery,LAKE VIEW,"6"
"130",3001 N Broadway St,Bike Shop,Chicago,41.9367226956339,-87.6442824866664,Johnny Sprockets,LAKE VIEW,"6"
"131",3826 N Broadway St,Bike Shop,Chicago,41.952213,-87.649926,A Nearly New Shop,LAKE VIEW,"6"
"132",3826 N Broadway St,Bike Shop,Chicago,41.9522094726563,-87.6498565673828,Ole Skool Recycled Bikes,LAKE VIEW,"6"
"133",6450 N Central Ave,Bike Shop,Chicago,41.998863,-87.763567,Edgebrook Cycle & Sports,FOREST GLEN,"12"
"134",6126 N Northwest Hwy,Bike Shop,Chicago,41.9928619468962,-87.7999448776245,Fratelli Bikes,NORWOOD PARK,"10"
"135",6320 N Milwaukee Ave,Bike Shop,Chicago,41.995374,-87.786428,City Scooters,NORWOOD PARK,"10"
"139",2959 N Lincoln Avenue,Bike Shop,Chicago,41.93576,-87.66283,Heritage Bicycles,LAKE VIEW,"6"
"140",4641 North Milwaukee Avenue,Bike Shop,Chicago,41.965184,-87.757967,Cosmic Bikes Inc.,PORTAGE PARK,"15"
"142",3640 W Lawrence Ave,Bike Shop,Chicago,41.968588,-87.719909,Lawrence Avenue Bikes,ALBANY PARK,"14"
"143",,Bike Shop,Chicago,41.957596,-87.72469,DS Bicycles,IRVING PARK,"16"
